Privatefixedinvestment;Nonresidential;Structures;Commercialandhealthcare;Manufacturing;Powerandcommunication;Miningexploration,shafts,andwells1;Otherstructures2;Equipment;Informationprocessingequipment;Computersandperipheralequipment;Other3;Industrialequipment;Transportationequipment;Otherequipment4;Intellectualpropertyproducts;Software5;Researchanddevelopment6;Entertainment,literary,andartisticoriginals;Residential;Structures;Permanentsite;Singlefamily;Multifamily;Otherstructures7;Equipment;Privatefixedinvestmentinstructures;Privatefixedinvestmentinnewstructures;Nonresidentialstructures8;Residentialstructures9;Privatefixedinvestmentininformationprocessingequipmentandsoftware
-0,6;-0,5;-26;-11,9;-11;-67;22,4;-33,5;10,3;-7,2;-14,9;-3,8;26,9;26,4;15;4,1;12,6;1,9;-12,4;-1,4;-1,7;1,4;2,1;-4,4;-3,2;12,5;-15;-17,1;-25,7;-4,2;0,8
9,8;10,8;31,3;21,4;68,2;39;27,4;25,6;5,6;13,1;29;6,9;6;-4;2,5;6,7;14,8;3,5;-5,7;4,6;4,6;-1,5;-3,7;16;7,7;7,1;17,5;18,3;30,7;3,7;13,8
18;20,2;26,4;14,1;55,8;28,6;36,9;8,3;26,3;8,4;18;4,3;33;49;32,5;8,4;16,9;3,4;1,2;7,4;7,5;13,1;8,7;50,2;4,8;5;17,1;15,5;26,3;1,8;12,1
10,7;10,7;14,9;4,2;19,1;-0,5;36,1;9,7;9,6;1,7;-3,2;4;28,7;20,8;-4,2;9,5;14,6;6,2;5,7;10,8;10,8;10,6;8,6;25,2;10,9;9,4;13;15,4;14,9;16,1;7,3
13,1;10,7;20,7;10,4;-8,4;81,1;11;12,6;13,1;25;40,3;18,5;-3,4;18,2;8,7;0,8;7,4;-5,2;4,5;26,5;27,1;37,5;35,6;51,2;22,1;5;23,7;21;19,8;22,5;16,7
8,4;9,4;10,1;9,2;19,7;12,3;4,4;14,7;11,8;7,7;-2,6;12,9;9,3;21;11,9;5,2;14,4;-0,9;-0,3;3,5;3,6;26;20,2;67,6;-6,7;-2,4;7,1;7;10,4;1,9;10,7
0,6;-1,3;-4,4;4,9;7,3;-5,5;-16,6;5,2;-1,2;-7,2;-14,5;-3,6;-13,2;0,9;19,6;0,8;0,9;1,1;-0,9;10,7;10,8;31,5;28,8;48,4;0,3;7;2,4;2,3;-4,3;13;-3,6
7,4;4,4;-7,5;-4,1;10,2;-14;-13;-2,5;8,2;12,1;12,6;11,9;9,1;15,4;-3,9;8,1;11,5;6,9;0,8;22,5;22,9;43,7;42,4;51,6;11,6;7;6;4,1;-7,5;22,7;11,8
8;6,3;-8,1;8,5;-1,5;-53,9;17,2;-1,7;8,6;18,2;9,5;22,3;-2,4;15,9;-0,9;14;14,6;16,7;-0,1;16,1;16;29,7;27,4;43,5;7,8;20,6;3,2;1;-8,1;14,2;16,5
4,2;2,1;11;-10,3;-13,4;54,1;12,8;16;0,7;0,3;-20,4;10,6;-2,4;8,7;-3,7;-1,6;-7,9;3,1;3,3;14,2;14,1;20,6;19,2;28,3;10;17,6;12,6;11,7;10,5;13,1;-3,5
7,6;7,6;20,8;14,4;39;70,9;-1,3;16,1;1,1;5,4;4;6;3,6;1,5;-7,7;8,6;12,7;7,7;-2,6;7,4;7,2;9,1;6,7;22,9;6;17,2;13,8;15,8;19,7;10,9;8,7
6,7;10;4;25,5;-1,4;44,1;-26,3;3;17,4;6,8;14,6;3,7;-1,9;20,2;54;3,8;9,3;0,6;-1,6;-6,2;-6,4;0,3;-7,4;49,4;-10,8;3,4;-1,4;1,3;2,9;-0,9;7,9
5;6,6;15,6;-0,2;-5,3;55,3;16,8;6;4,1;3,2;-13,2;10,9;9,8;7,4;-2,4;4;7,3;0,7;6,7;-1,7;-1,9;9,3;6,1;25,8;-9,4;9,2;6,6;10,8;15,3;5,1;5,1
12,3;12;15,2;23,1;13,7;-19,4;43,2;16,8;11,2;16,6;9,2;19,8;11,9;14;0,9;10,6;11;11,2;5,6;13,8;13,5;16,4;11,5;40,8;11,3;29,5;14,3;15,7;15,2;16,4;14
8,4;8,9;1,3;17,9;33,1;-26,4;-0,1;7,3;13,1;-0,2;-4;1,4;9;25,4;23,6;8,9;11,2;7,6;5,8;6,2;6,2;4,8;0,9;23,2;7,2;8,4;3,7;2,2;1;3,8;5
5,6;3,5;7,1;15,9;111;-40,1;0,7;28,3;-1,9;11,6;9,9;12,3;-8,5;-5,3;-9,3;9,4;3,7;14,9;6,8;15,1;15,2;30;33,9;15,1;4,9;11,6;11;11,3;6,9;17,5;7,9
1,7;0,2;-4;1,6;40,1;56,8;-41,8;-3,9;4,3;4,2;-6,9;8,9;1,9;24,8;-13,2;-2,4;5,1;-8,9;1,8;8,1;8;6,7;5,8;10,9;9;13,4;1,8;0,7;-5,1;8,6;4,6
4,4;2,8;5,7;30,2;32,6;80,6;-58,6;36,1;1,7;8,2;1,4;11;2,5;8,6;-14,7;2,2;5,6;-0,4;1,6;11,1;11;5,4;4,3;10,2;15,7;15,5;8,4;6,9;4,2;10,2;7
4,6;2,5;-10,2;-2,7;-5,2;-2,2;-41;11,4;6,8;12,5;7,3;14,5;-2,2;15,2;-2,7;6,5;4,9;8,3;4,2;13,2;13,3;18,7;16;29,6;9,2;9,3;1,3;0,6;-10,6;15,3;8,9
-0,1;-1,8;-12,8;7;-8,3;-14,9;-37,3;-9,7;-4,3;5,8;-16,5;15,7;3,8;-16,1;-9,4;11,3;12,4;12,1;2,6;6,4;6,3;10,8;9,2;16,8;2,9;8,3;-3;-1,4;-13,2;13,1;8,8
3;0,3;-13;28,6;-16,5;-10,5;-65,5;4,3;-1;4,1;14,3;0,5;-6,6;-2,6;-1,3;12,8;15,8;12,1;4,6;13,1;12,9;14,1;10,4;28,3;12;21,3;0,4;-1,5;-14;12,6;9,5
3;3,5;9,5;17;12,9;18,5;-43,9;34,9;-4,1;1,6;-4,7;4,2;5;-15,7;-5,1;10,4;11,8;11,2;1,3;1,3;1,2;0,7;-1,6;8,9;1,6;4,8;4,8;3,6;8,5;-1,1;6,4
4,5;6,2;16,9;28,5;-1,5;22,1;27,2;4,6;-0,4;6,7;-9,9;13,6;-3,4;-1,7;-6,6;8,3;12,9;4,2;10,1;-1,1;-1,4;-8,1;-11,6;4,8;4,5;15;6,5;7,1;16,5;-1,6;9,7
3,7;3,3;3,8;7,3;-18,6;13,6;4,9;4;2;8,2;8,6;8,1;5;-1,8;-5,3;4,5;11,8;-1,3;4,7;5,3;5,2;7,3;10,9;-4;3,6;7,8;4,5;5,2;3,3;7,1;9,9
5,3;4,1;-0,4;-5,9;-27,1;-28,7;149,4;2,1;2,6;5,8;1,6;7,4;7,3;-8,2;7,8;9;12,8;7,4;1,6;9,7;9,6;5,1;9,2;-8;13,4;13,5;5;3,4;-0,2;7,2;9,2
4;4,6;1;1,8;-1,3;-29,5;41,3;10,1;7,8;16,2;18,9;15,3;10,8;-2,6;5,5;2,9;11,2;-3,4;0,6;2,3;2,2;12,6;15,1;4;-5,6;6,7;1,6;2,9;0,7;5,1;13,7
3,1;3,9;-8,4;-9,1;-18,8;-16,9;2,2;-1,3;6,8;4,7;23;-1,6;3,2;20,1;-1,3;8,9;14,4;5,7;1,8;0,3;0,1;5,8;9,1;-5,5;-4,4;10,2;-3,7;-1,6;-8,5;5,5;9,4
9,6;9,9;6,9;3,6;4,1;5;29;-0,6;12,9;14,3;-4,3;22,4;8;17,7;9,5;8,1;13,1;4,6;5,2;8,4;8,3;4;3,4;6,3;12,1;13,5;7,7;7,6;7,4;7,8;13,7
7,1;11,7;25,8;12,5;-3,6;94,5;35,8;8,6;7,3;12;36,5;3,6;6,8;6,6;1,2;8,8;14,1;5,3;3,9;-7,4;-7,5;-1,4;2;-13,3;-12,4;1,8;5,9;8,9;26,3;-5,3;13
4,2;4,6;1,6;1,2;0,9;-21;39,5;-0,2;0,7;1,5;14,4;-3,6;-2,9;-1,7;6,5;11,9;14,5;11,3;3,7;2,8;3;6,4;8,3;-0,6;0,2;-9,3;2,4;4,1;2,3;5,7;7,8
1,1;2,5;0,6;-3,6;10,1;-18,6;35;-5,1;0;5,1;-1,6;8,1;4,7;-5,6;-5,1;7;11,8;3,9;1,8;-3,7;-3,6;-3,4;-3,8;-1,6;-3,9;-8,1;-1,8;0,1;1,1;-0,9;8,5
1;3,7;-10,8;-14,1;-2,7;-10,4;-14,4;-7,4;5,3;-0,2;-8,8;3,7;9;4,6;12,2;11,9;10,6;14,6;4;-7,8;-7,8;-12,1;-19,3;19,8;-3,9;-8,7;-9,1;-8,3;-11,1;-5,5;5,2
1,1;2,7;1,5;3,9;23,7;-13,7;-6,9;7,6;2,2;7,2;0,7;10;-2,2;-1,7;4,3;4,2;-1,6;10,9;-3;-4,4;-4,5;-13,6;-19,8;11,1;3,7;0,1;-1,9;-3,4;0,5;-7;2,6
7,6;7,8;13,5;5,8;2,3;80,1;2,3;-1,2;4,1;8,1;23,3;2,3;5,2;-7,9;12,6;8,9;8,2;11,3;-0,9;7;7;5,6;8,5;-3,1;8;6,7;9,9;7,8;13,4;2,5;8,1
4,3;3,9;16,8;20,4;-2,9;47,4;14,4;2;-5,8;-5,9;-19,1;0,2;4,3;-14,4;-5,2;8,1;9,7;7,3;5,1;5,9;5,7;5,9;9,5;-5,6;5,6;11,7;10,7;12,4;18,3;6,6;1,9
-1,1;-1,8;-6,6;6,2;-10;19,4;-42,3;-9;-8,7;-4;13,7;-10,5;-16,4;-6,6;-10,6;10,1;15,6;6,3;5,8;1,3;1,1;2,8;5;-4,5;-0,3;9,7;-2,5;-2;-6,1;2,4;6
